arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,PS,runtime
ARM_AppleA5_APL7498_LPDDR2800_2GB,1,ARM,8,64,1,32,8,64,1,1024,16,64,1,1,2,LPDDR2,800,1,1000,917
ARM_AppleA5_APL7498_LPDDR2800_3GB,1,ARM,8,64,1,32,8,64,1,1024,16,64,1,1,3,LPDDR2,800,1,1000,917
ARM_AppleA5_APL7498_LPDDR2800_4GB,1,ARM,8,64,1,32,8,64,1,1024,16,64,1,1,4,LPDDR2,800,1,1000,917
ARM_AppleA5_APL7498_LPDDR2800_6GB,1,ARM,8,64,1,32,8,64,1,1024,16,64,1,1,6,LPDDR2,800,1,1000,917
ARM_AppleA5_APL7498_LPDDR2800_7GB,1,ARM,8,64,1,32,8,64,1,1024,16,64,1,1,7,LPDDR2,800,1,1000,917
ARM_AppleA4_APL0398_LPDDR2400_2GB,1,ARM,8,64,1,32,8,64,1,512,16,64,1,1,2,LPDDR2,400,1,1000,917
ARM_AppleA4_APL0398_LPDDR2400_3GB,1,ARM,8,64,1,32,8,64,1,512,16,64,1,1,3,LPDDR2,400,1,1000,917
ARM_AppleA4_APL0398_LPDDR2400_4GB,1,ARM,8,64,1,32,8,64,1,512,16,64,1,1,4,LPDDR2,400,1,1000,917
ARM_AppleA4_APL0398_LPDDR2400_6GB,1,ARM,8,64,1,32,8,64,1,512,16,64,1,1,6,LPDDR2,400,1,1000,917
ARM_AppleA4_APL0398_LPDDR2400_7GB,1,ARM,8,64,1,32,8,64,1,512,16,64,1,1,7,LPDDR2,400,1,1000,917
ARM_AMDOpteronA57_A1120_DDR41866_2GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,4,8,2,DDR4,1866,4,1000,562
ARM_AMDOpteronA57_A1120_DDR41866_3GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,4,8,3,DDR4,1866,4,1000,562
ARM_AMDOpteronA57_A1120_DDR41866_4GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,4,8,4,DDR4,1866,4,1000,562
ARM_AMDOpteronA57_A1120_DDR41866_6GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,4,8,6,DDR4,1866,4,1000,562
ARM_AMDOpteronA57_A1120_DDR41866_7GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,4,8,7,DDR4,1866,4,1000,562
ARM_AMDOpteronA57_A1150_DDR41866_2GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,2,DDR4,1866,8,1000,562
ARM_AMDOpteronA57_A1150_DDR41866_3GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,3,DDR4,1866,8,1000,562
ARM_AMDOpteronA57_A1150_DDR41866_4GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,4,DDR4,1866,8,1000,562
ARM_AMDOpteronA57_A1150_DDR41866_6GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,6,DDR4,1866,8,1000,562
ARM_AMDOpteronA57_A1150_DDR41866_7GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,7,DDR4,1866,8,1000,562
ARM_AMDOpteronA57_A1170_DDR41866_2GB,2,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,2,DDR4,1866,8,1000,494
ARM_AMDOpteronA57_A1170_DDR41866_3GB,2,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,3,DDR4,1866,8,1000,494
ARM_AMDOpteronA57_A1170_DDR41866_4GB,2,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,4,DDR4,1866,8,1000,494
ARM_AMDOpteronA57_A1170_DDR41866_6GB,2,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,6,DDR4,1866,8,1000,494
ARM_AMDOpteronA57_A1170_DDR41866_7GB,2,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,7,DDR4,1866,8,1000,494
ARM_QcomSnpS4_MSM8227_LPDDR2400_2GB,1,ARM,8,64,1,4,8,64,1,16,16,64,2,1,2,LPDDR2,400,2,2000,2542
ARM_QcomSnpS4_MSM8227_LPDDR2400_3GB,1,ARM,8,64,1,4,8,64,1,16,16,64,2,1,3,LPDDR2,400,2,2000,2542
ARM_QcomSnpS4_MSM8227_LPDDR2400_4GB,1,ARM,8,64,1,4,8,64,1,16,16,64,2,1,4,LPDDR2,400,2,2000,2542
ARM_QcomSnpS4_MSM8227_LPDDR2400_6GB,1,ARM,8,64,1,4,8,64,1,16,16,64,2,1,6,LPDDR2,400,2,2000,2542
ARM_QcomSnpS4_MSM8227_LPDDR2400_7GB,1,ARM,8,64,1,4,8,64,1,16,16,64,2,1,7,LPDDR2,400,2,2000,2542
ARM_QcomSnpS4_APQ8030_LPDDR2533_2GB,1.2,ARM,8,64,1,4,8,64,1,16,16,64,2,1,2,LPDDR2,533,2,2000,2166
ARM_QcomSnpS4_APQ8030_LPDDR2533_3GB,1.2,ARM,8,64,1,4,8,64,1,16,16,64,2,1,3,LPDDR2,533,2,2000,2166
ARM_QcomSnpS4_APQ8030_LPDDR2533_4GB,1.2,ARM,8,64,1,4,8,64,1,16,16,64,2,1,4,LPDDR2,533,2,2000,2166
ARM_QcomSnpS4_APQ8030_LPDDR2533_6GB,1.2,ARM,8,64,1,4,8,64,1,16,16,64,2,1,6,LPDDR2,533,2,2000,2166
ARM_QcomSnpS4_APQ8030_LPDDR2533_7GB,1.2,ARM,8,64,1,4,8,64,1,16,16,64,2,1,7,LPDDR2,533,2,2000,2166
ARM_QcomSnpS4_APQ8060A_LPDDR2533_2GB,1.5,ARM,8,64,1,4,8,64,1,16,16,64,2,1,2,LPDDR2,533,2,2000,1790
ARM_QcomSnpS4_APQ8060A_LPDDR2533_3GB,1.5,ARM,8,64,1,4,8,64,1,16,16,64,2,1,3,LPDDR2,533,2,2000,1790
ARM_QcomSnpS4_APQ8060A_LPDDR2533_4GB,1.5,ARM,8,64,1,4,8,64,1,16,16,64,2,1,4,LPDDR2,533,2,2000,1790
ARM_QcomSnpS4_APQ8060A_LPDDR2533_6GB,1.5,ARM,8,64,1,4,8,64,1,16,16,64,2,1,6,LPDDR2,533,2,2000,1790
ARM_QcomSnpS4_APQ8060A_LPDDR2533_7GB,1.5,ARM,8,64,1,4,8,64,1,16,16,64,2,1,7,LPDDR2,533,2,2000,1790
ARM_QcomSnpS4_MSM8960T_LPDDR2533_2GB,1.7,ARM,8,64,1,4,8,64,1,16,16,64,2,1,2,LPDDR2,533,2,2000,1608
ARM_QcomSnpS4_MSM8960T_LPDDR2533_3GB,1.7,ARM,8,64,1,4,8,64,1,16,16,64,2,1,3,LPDDR2,533,2,2000,1608
ARM_QcomSnpS4_MSM8960T_LPDDR2533_4GB,1.7,ARM,8,64,1,4,8,64,1,16,16,64,2,1,4,LPDDR2,533,2,2000,1608
ARM_QcomSnpS4_MSM8960T_LPDDR2533_6GB,1.7,ARM,8,64,1,4,8,64,1,16,16,64,2,1,6,LPDDR2,533,2,2000,1608
ARM_QcomSnpS4_MSM8960T_LPDDR2533_7GB,1.7,ARM,8,64,1,4,8,64,1,16,16,64,2,1,7,LPDDR2,533,2,2000,1608
ARM_QcomSnpS4_APQ8064_LPDDR2533_2GB,1.5,ARM,8,64,1,4,8,64,1,16,16,64,4,2,2,LPDDR2,533,4,2000,1790
ARM_QcomSnpS4_APQ8064_LPDDR2533_3GB,1.5,ARM,8,64,1,4,8,64,1,16,16,64,4,2,3,LPDDR2,533,4,2000,1790
ARM_QcomSnpS4_APQ8064_LPDDR2533_4GB,1.5,ARM,8,64,1,4,8,64,1,16,16,64,4,2,4,LPDDR2,533,4,2000,1790
ARM_QcomSnpS4_APQ8064_LPDDR2533_6GB,1.5,ARM,8,64,1,4,8,64,1,16,16,64,4,2,6,LPDDR2,533,4,2000,1790
ARM_QcomSnpS4_APQ8064_LPDDR2533_7GB,1.5,ARM,8,64,1,4,8,64,1,16,16,64,4,2,7,LPDDR2,533,4,2000,1790
ARM_QcomSnpS4_APQ8064M_LPDDR2533_2GB,1.7,ARM,8,64,1,4,8,64,1,16,16,64,4,2,2,LPDDR2,533,4,2000,1608
ARM_QcomSnpS4_APQ8064M_LPDDR2533_3GB,1.7,ARM,8,64,1,4,8,64,1,16,16,64,4,2,3,LPDDR2,533,4,2000,1608
ARM_QcomSnpS4_APQ8064M_LPDDR2533_4GB,1.7,ARM,8,64,1,4,8,64,1,16,16,64,4,2,4,LPDDR2,533,4,2000,1608
ARM_QcomSnpS4_APQ8064M_LPDDR2533_6GB,1.7,ARM,8,64,1,4,8,64,1,16,16,64,4,2,6,LPDDR2,533,4,2000,1608
ARM_QcomSnpS4_APQ8064M_LPDDR2533_7GB,1.7,ARM,8,64,1,4,8,64,1,16,16,64,4,2,7,LPDDR2,533,4,2000,1608
ARM_QcomSnpS4_APQ8064AB_LPDDR2667_2GB,1.9,ARM,8,64,1,4,8,64,1,16,16,64,4,2,2,LPDDR2,667,4,2000,1470
ARM_QcomSnpS4_APQ8064AB_LPDDR2667_3GB,1.9,ARM,8,64,1,4,8,64,1,16,16,64,4,2,3,LPDDR2,667,4,2000,1470
ARM_QcomSnpS4_APQ8064AB_LPDDR2667_4GB,1.9,ARM,8,64,1,4,8,64,1,16,16,64,4,2,4,LPDDR2,667,4,2000,1470
ARM_QcomSnpS4_APQ8064AB_LPDDR2667_6GB,1.9,ARM,8,64,1,4,8,64,1,16,16,64,4,2,6,LPDDR2,667,4,2000,1470
ARM_QcomSnpS4_APQ8064AB_LPDDR2667_7GB,1.9,ARM,8,64,1,4,8,64,1,16,16,64,4,2,7,LPDDR2,667,4,2000,1470
ARM_QcomSnpS4_APQ8074AA_LPDDR2800_2GB,2.26,ARM,8,64,1,4,8,64,1,16,16,64,4,2,2,LPDDR2,800,4,2000,1281
ARM_QcomSnpS4_APQ8074AA_LPDDR2800_3GB,2.26,ARM,8,64,1,4,8,64,1,16,16,64,4,2,3,LPDDR2,800,4,2000,1281
ARM_QcomSnpS4_APQ8074AA_LPDDR2800_4GB,2.26,ARM,8,64,1,4,8,64,1,16,16,64,4,2,4,LPDDR2,800,4,2000,1281
ARM_QcomSnpS4_APQ8074AA_LPDDR2800_6GB,2.26,ARM,8,64,1,4,8,64,1,16,16,64,4,2,6,LPDDR2,800,4,2000,1281
ARM_QcomSnpS4_APQ8074AA_LPDDR2800_7GB,2.26,ARM,8,64,1,4,8,64,1,16,16,64,4,2,7,LPDDR2,800,4,2000,1281
ARM_QcomSnpS4_APQ8074AB_LPDDR2933_2GB,2.36,ARM,8,64,1,4,8,64,1,16,16,64,4,2,2,LPDDR2,933,4,2000,1243
ARM_QcomSnpS4_APQ8074AB_LPDDR2933_3GB,2.36,ARM,8,64,1,4,8,64,1,16,16,64,4,2,3,LPDDR2,933,4,2000,1243
ARM_QcomSnpS4_APQ8074AB_LPDDR2933_4GB,2.36,ARM,8,64,1,4,8,64,1,16,16,64,4,2,4,LPDDR2,933,4,2000,1243
ARM_QcomSnpS4_APQ8074AB_LPDDR2933_6GB,2.36,ARM,8,64,1,4,8,64,1,16,16,64,4,2,6,LPDDR2,933,4,2000,1243
ARM_QcomSnpS4_APQ8074AB_LPDDR2933_7GB,2.36,ARM,8,64,1,4,8,64,1,16,16,64,4,2,7,LPDDR2,933,4,2000,1243
ARM_QcomSnpS4_APQ8084_LPDDR2800_2GB,2.7,ARM,8,64,1,4,8,64,1,16,16,64,4,2,2,LPDDR2,800,4,2000,1120
ARM_QcomSnpS4_APQ8084_LPDDR2800_3GB,2.7,ARM,8,64,1,4,8,64,1,16,16,64,4,2,3,LPDDR2,800,4,2000,1120
