arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,bus_speed,no_of_procs,runtime
IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,1024,7,13.71
IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,1024,8,12.23
IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,1,68.41
IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,2,37.13
IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,3,29.14
IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,4,25.3
IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,5,24.84
IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,6,24.85
IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,7,25.54
IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,8,24.89
